id,amazon_url,rakuten_url,note
n100,,https://a.r10.to/h5NmVG,N100系ミニPC向け。楽天アフィリエイトリンク。
n150,,,N150系ミニPC向け。楽天アフィリエイトリンクはここに貼る。
ryzen,,,Ryzen系ミニPC向け。楽天アフィリエイトリンクはここに貼る。
